Malha,DeltaX,Posicao,CodigoEC
438,0.2000,87.6000,C
439,0.2000,87.8000,C
440,0.2000,88.0000,C
441,0.2000,88.2000,C
442,0.2000,88.4000,C
443,0.2000,88.6000,C
444,0.2000,88.8000,C
445,0.2000,89.0000,C
446,0.2000,89.2000,C
447,0.2000,89.4000,C
448,0.2000,89.6000,C
449,0.2000,89.8000,C
450,0.2000,90.0000,C
451,0.2000,90.2000,C
452,0.2000,90.4000,C
453,0.2000,90.6000,C
454,0.2000,90.8000,C
455,0.2000,91.0000,C
456,0.2000,91.2000,C
457,0.2000,91.4000,C
458,0.2000,91.6000,C
459,0.2000,91.8000,C
460,0.2000,92.0000,C
461,0.2000,92.2000,C
462,0.2000,92.4000,C
463,0.2000,92.6000,C
464,0.2000,92.8000,C
465,0.2000,93.0000,C
466,0.2000,93.2000,C
467,0.2000,93.4000,C
468,0.2000,93.6000,C
469,0.2000,93.8000,C
470,0.2000,94.0000,C
471,0.2000,94.2000,C
472,0.2000,94.4000,C
473,0.2000,94.6000,C
474,0.2000,94.8000,C
475,0.2000,95.0000,C
476,0.2000,95.2000,C
477,0.2000,95.4000,C
478,0.2000,95.6000,C
479,0.2000,95.8000,C
480,0.2000,96.0000,C
481,0.2000,96.2000,C
482,0.2000,96.4000,C
483,0.2000,96.6000,C
484,0.2000,96.8000,C
485,0.2000,97.0000,C
486,0.2000,97.2000,C
487,0.2000,97.4000,C
488,0.2000,97.6000,C
489,0.2000,97.8000,C
490,0.2000,98.0000,C
491,0.2000,98.2000,C
492,0.2000,98.4000,C
493,0.2000,98.6000,C
494,0.2000,98.8000,C
495,0.2000,99.0000,C
496,0.2000,99.2000,C
497,0.2000,99.4000,C
498,0.2000,99.6000,C
499,0.2000,99.8000,C
500,0.2000,100.0000,C
