NumeroIteracoes,35
Keff,0.758262662909

Malha,Posicao,Fluxo_Grupo1,Fluxo_Grupo2
241,48.2000,7.912536613,1.174523779
242,48.4000,7.915294524,1.174933161
243,48.6000,7.917746224,1.175297089
244,48.8000,7.919891634,1.175615552
245,49.0000,7.921730684,1.175888539
246,49.2000,7.923263317,1.176116042
247,49.4000,7.924489482,1.176298053
248,49.6000,7.925409140,1.176434566
249,49.8000,7.926022262,1.176525577
250,50.0000,7.926328828,1.176571084
251,50.2000,7.926328828,1.176571084
252,50.4000,7.926022262,1.176525577
253,50.6000,7.925409140,1.176434566
254,50.8000,7.924489482,1.176298053
255,51.0000,7.923263317,1.176116042
256,51.2000,7.921730684,1.175888539
257,51.4000,7.919891634,1.175615552
258,51.6000,7.917746224,1.175297089
259,51.8000,7.915294524,1.174933161
260,52.0000,7.912536613,1.174523779
261,52.2000,7.909472579,1.174068957
262,52.4000,7.906102522,1.173568708
263,52.6000,7.902426548,1.173023050
264,52.8000,7.898444778,1.172431999
265,53.0000,7.894157338,1.171795576
266,53.2000,7.889564367,1.171113799
267,53.4000,7.884666013,1.170386692
268,53.6000,7.879462434,1.169614277
269,53.8000,7.873953797,1.168796580
270,54.0000,7.868140280,1.167933626
271,54.2000,7.862022071,1.167025445
272,54.4000,7.855599367,1.166072064
273,54.6000,7.848872376,1.165073516
274,54.8000,7.841841315,1.164029831
275,55.0000,7.834506411,1.162941045
276,55.2000,7.826867902,1.161807191
277,55.4000,7.818926035,1.160628308
278,55.6000,7.810681066,1.159404432
279,55.8000,7.802133264,1.158135604
280,56.0000,7.793282906,1.156821865
281,56.2000,7.784130278,1.155463257
282,56.4000,7.774675679,1.154059825
283,56.6000,7.764919414,1.152611614
284,56.8000,7.754861802,1.151118671
285,57.0000,7.744503170,1.149581045
286,57.2000,7.733843855,1.147998787
287,57.4000,7.722884205,1.146371946
288,57.6000,7.711624577,1.144700578
289,57.8000,7.700065339,1.142984735
290,58.0000,7.688206869,1.141224475
291,58.2000,7.676049555,1.139419855
292,58.4000,7.663593795,1.137570933
293,58.6000,7.650839996,1.135677772
294,58.8000,7.637788578,1.133740431
295,59.0000,7.624439968,1.131758977
296,59.2000,7.610794607,1.129733472
297,59.4000,7.596852942,1.127663985
298,59.6000,7.582615432,1.125550583
