NumeroIteracoes,38
Keff,0.758448810439

Malha,Posicao,Fluxo_Grupo1,Fluxo_Grupo2
428,85.6000,3.508580524,0.520817086
429,85.8000,3.463597488,0.514139760
430,86.0000,3.418474611,0.507441676
431,86.2000,3.373213690,0.500723100
432,86.4000,3.327816528,0.493984301
433,86.6000,3.282284935,0.487225546
434,86.8000,3.236620726,0.480447106
435,87.0000,3.190825725,0.473649252
436,87.2000,3.144901760,0.466832253
437,87.4000,3.098850665,0.459996384
438,87.6000,3.052674281,0.453141916
439,87.8000,3.006374456,0.446269125
440,88.0000,2.959953041,0.439378285
441,88.2000,2.913411896,0.432469672
442,88.4000,2.866752884,0.425543562
443,88.6000,2.819977876,0.418600234
444,88.8000,2.773088746,0.411639966
445,89.0000,2.726087376,0.404663037
446,89.2000,2.678975653,0.397669727
447,89.4000,2.631755467,0.390660317
448,89.6000,2.584428716,0.383635088
449,89.8000,2.536997302,0.376594323
450,90.0000,2.489463132,0.369538305
451,90.2000,2.441828117,0.362467317
452,90.4000,2.394094176,0.355381645
453,90.6000,2.346263228,0.348281573
454,90.8000,2.298337202,0.341167387
455,91.0000,2.250318028,0.334039374
456,91.2000,2.202207641,0.326897822
457,91.4000,2.154007981,0.319743018
458,91.6000,2.105720993,0.312575251
459,91.8000,2.057348626,0.305394810
460,92.0000,2.008892832,0.298201986
461,92.2000,1.960355568,0.290997067
462,92.4000,1.911738794,0.283780347
463,92.6000,1.863044475,0.276552115
464,92.8000,1.814274581,0.269312665
465,93.0000,1.765431082,0.262062289
466,93.2000,1.716515954,0.254801281
467,93.4000,1.667531178,0.247529933
468,93.6000,1.618478735,0.240248542
469,93.8000,1.569360611,0.232957400
470,94.0000,1.520178795,0.225656804
471,94.2000,1.470935280,0.218347050
472,94.4000,1.421632062,0.211028433
473,94.6000,1.372271137,0.203701250
474,94.8000,1.322854508,0.196365798
475,95.0000,1.273384178,0.189022375
476,95.2000,1.223862153,0.181671278
477,95.4000,1.174290443,0.174312806
478,95.6000,1.124671059,0.166947257
479,95.8000,1.075006014,0.159574930
480,96.0000,1.025297324,0.152196124
481,96.2000,0.975547008,0.144811140
482,96.4000,0.925757086,0.137420276
483,96.6000,0.875929580,0.130023833
484,96.8000,0.826066513,0.122622112
485,97.0000,0.776169912,0.115215412
486,97.2000,0.726241803,0.107804036
487,97.4000,0.676284216,0.100388284
488,97.6000,0.626299180,0.092968457
489,97.8000,0.576288728,0.085544857
490,98.0000,0.526254892,0.078117787
491,98.2000,0.476199706,0.070687547
492,98.4000,0.426125205,0.063254439
493,98.6000,0.376033426,0.055818767
494,98.8000,0.325926404,0.048380833
495,99.0000,0.275806178,0.040940938
496,99.2000,0.225674786,0.033499385
497,99.4000,0.175534266,0.026056478
498,99.6000,0.125386657,0.018612518
499,99.8000,0.075233999,0.011167808
500,100.0000,0.025078331,0.003722652
